"name"	"N"	"type"	"selectedFit"	"g"	"d"	"phi"
"299"	"130007401"	10	"included"	"gd"	0.00242061869896598	0.00909659153968705	NA
"300"	"1301"	7	"included"	"gd"	0.00197761631651717	0.0172783252012687	NA
"301"	"1302"	3	"excluded"	"not fit"	NA	NA	NA
"302"	"1303"	7	"included"	"dx"	NA	0.0662566966396259	NA
"303"	"1304"	11	"included"	"gdphi"	0.000202244488478356	0.0120722181297134	0.999981333609422
"304"	"1305"	6	"included"	"gd"	0.0102595947844872	0.0452657483523949	NA
"305"	"1306"	18	"included"	"dx"	NA	0.00734158740543684	NA
"306"	"1307"	6	"included"	"dx"	NA	0.0168245984168684	NA
"307"	"1308"	10	"included"	"dx"	NA	0.0033936517191564	NA
"308"	"1309"	3	"included"	"gd"	0.0294941583810204	0.0455407024195049	NA
"309"	"131"	10	"included"	"gd"	0.00293239525583969	0.0183778182223393	NA
"310"	"1310"	8	"included"	"gd"	0.001972682916835	0.00807214724469981	NA
"311"	"1311"	6	"excluded"	"not fit"	NA	NA	NA
"312"	"1312"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"313"	"1313"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"314"	"1314"	5	"included"	"dx"	NA	0.0187731946469145	NA
"315"	"1315"	8	"included"	"gd"	0.00354102186755338	0.00957949245368729	NA
"316"	"1316"	13	"included"	"gd"	0.00153360601080346	0.00763123180770075	NA
"317"	"1317"	9	"included"	"gdphi"	0.00242987015159191	0.094013005110423	0.654552312112841
"318"	"1318"	6	"included"	"dx"	NA	0.0191365755664305	NA
"319"	"1319"	10	"included"	"gd"	0.000452480495958683	0.0468460644739729	NA
"320"	"132"	9	"included"	"dx"	NA	0.00661641777593538	NA
"321"	"1320"	5	"included"	"gd"	0.00151538600119054	0.0292026524846669	NA
"322"	"1321"	11	"included"	"gd"	0.000612699056791426	0.080924424629781	NA
"323"	"1323"	5	"included"	"gx"	0.0114740713020418	NA	NA
"324"	"1324"	5	"included"	"dx"	NA	0.0205903832186136	NA
"325"	"1325"	10	"included"	"dx"	NA	0.0205749420416765	NA
"326"	"1326"	13	"included"	"gd"	0.000814541549930825	0.0205678516928643	NA
"327"	"1327"	4	"included"	"dx"	NA	0.0199644836501259	NA
"328"	"1328"	8	"included"	"dx"	NA	0.0145376829277682	NA
"329"	"1329"	11	"included"	"gd"	0.000289120831223411	0.026608391495558	NA
"330"	"133"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"331"	"1330"	9	"included"	"dx"	NA	0.0573165717797999	NA
"332"	"1331"	18	"included"	"gdphi"	0.000744266387093272	0.0135845550152954	0.998076153081775
"333"	"1332"	15	"included"	"gd"	8.64471287100914e-05	0.0602169474177381	NA
"334"	"1333"	3	"included"	"gx"	0.0143429544872804	NA	NA
"335"	"1334"	12	"excluded"	"not fit"	NA	NA	NA
"336"	"1335"	3	"excluded"	"not fit"	NA	NA	NA
"337"	"1336"	6	"included"	"dx"	NA	0.00214168551837754	NA
"338"	"1337"	13	"included"	"gd"	0.00211022191461389	0.00530050180904774	NA
"339"	"1338"	7	"included"	"gd"	0.00367189653400193	0.0840441634749698	NA
"340"	"1339"	8	"included"	"gd"	0.00171535535757422	0.0207208427502229	NA
"341"	"134"	10	"included"	"dx"	NA	0.0149444482068826	NA
"342"	"1340"	4	"excluded"	"not fit"	NA	NA	NA
"343"	"1341"	14	"included"	"gdphi"	0.000980683671264193	0.0176183038158346	0.994838151043763
"344"	"1342"	5	"included"	"gx"	0.0033267613419362	NA	NA
"345"	"1344"	21	"included"	"dx"	NA	0.00253522925703633	NA
"346"	"1345"	11	"included"	"dx"	NA	0.00430348602320967	NA
"347"	"1346"	15	"included"	"gd"	0.000318518479033031	0.0585072181071392	NA
"348"	"1347"	2	"included"	"gx"	0.0220104873868646	NA	NA
"349"	"1348"	8	"included"	"dx"	NA	0.00267176254578365	NA
"350"	"1349"	11	"included"	"gdphi"	0.000784634527904726	0.0148005094308454	0.99939294798713
"351"	"135"	10	"included"	"gd"	0.000537618044216495	0.0440561928952503	NA
"352"	"1350"	5	"included"	"dx"	NA	0.00828810133423208	NA
"353"	"1351"	8	"included"	"gd"	0.00245678249475559	0.00859670324555763	NA
"354"	"1352"	4	"excluded"	"not fit"	NA	NA	NA
"355"	"1353"	15	"included"	"dx"	NA	0.00817238959778191	NA
"356"	"1354"	4	"included"	"dx"	NA	0.056794057983639	NA
"357"	"1355"	10	"included"	"dx"	NA	0.0347638409484497	NA
"358"	"1356"	6	"included"	"dx"	NA	0.00569991195083531	NA
"359"	"1357"	20	"included"	"gd"	0.000552206230763957	0.0131933245956748	NA
"360"	"1358"	6	"included"	"gx"	0.00807776522964436	NA	NA
"361"	"1359"	9	"included"	"dx"	NA	0.0968018228085918	NA
"362"	"136"	4	"included"	"gd"	0.0102487044377162	0.0275089096944033	NA
